customer_id,customer_name,customer_address,customer_email,customer_phone_number,birthdate
0,Allison Hill,819 Johnson Course-East William- AK 74064,allisonhill66@gmail.com,886.737.9402,10/11/1992
1,Phillip Garcia,9407 Teresa Lane Apt. 849-Barbaraland- AZ 87174,phillipgarcia12@gmail.com,441.731.6475,7/21/1993
2,Mia Sutton,327 Nelson Route-Lake Mark- WI 07832,miasutton34@gmail.com,505.964.1395,12/15/1993
3,Judy Baker,969 Cox Dam Suite 101-Lake Ernest- TX 55834,judybaker29@gmail.com,+1-616-769-7848x018,2/12/1991
4,Jesse Mckay,281 Skinner Parkways Apt. 252-New Mariotown- DE 48077,jessemckay75@gmail.com,430-639-1171x8227,4/12/1995
5,Tracey Hickman,465 Lam Mission-East Jeffreymouth- AK 77611,traceyhickman70@gmail.com,-1999,9/16/1990
6,Michael Lewis,76311 Gomez Loop Suite 010-Chandlerville- IA 25613,michaellewis89@gmail.com,387.926.2473,1/29/1998
7,Annette Pearson,32677 Michelle Circle-South Aaron- MS 35261,annettepearson17@gmail.com,246.787.2343x098,7/28/1990
8,Kathryn Farrell,19136 Shelly Port-New Brooke- RI 11246,kathrynfarrell47@gmail.com,(799)385-4353x46247,2/4/1990
9,Kristine Garcia,51354 Samuel Plains Suite 980-Sarahville- FM 18102,kristinegarcia12@gmail.com,911-682-4493x534,1/20/1999
10,Anna Henderson,2427 Hoffman Creek-Lake Rebeccaside- AZ 48894,annahenderson29@gmail.com,001-782-562-0450,10/26/1996
11,Heather Castro,22602 Patton Loop-West Erik- UT 14669,heathercastro54@gmail.com,(707)633-7543x3036,8/23/1998
12,Diana May,14294 Daniel Mews Suite 569-South Rachelborough- KS 06318,dianamay12@gmail.com,001-360-688-3561x595,1/27/1995
13,Erika Terry,6299 Sullivan Village-West Justinchester- WY 76520,erikaterry27@gmail.com,+1-757-377-3872x148,3/8/1998
14,Megan Walker,37917 Mercado Ports-Lake Heather- NM 52884,meganwalker67@gmail.com,220.516.3287,3/5/1999
15,Casey Marshall,9868 Merritt Summit Suite 743-Katiehaven- NM 82650,caseymarshall58@gmail.com,347.414.3455,7/5/1991
16,Christian Lewis,760 Marissa Loaf Apt. 967-West Kennethfurt- PR 55422,christianlewis29@gmail.com,-4592,5/12/1993
17,Jennifer Martin,806 Christopher Meadow-Port Steven- AR 34600,jennifermartin62@gmail.com,(253)775-5646x4170,3/29/1992
18,Tyler Williams,09232 Caldwell Port-South Holly- WI 48852,tylerwilliams82@gmail.com,(699)812-4190,12/19/1993
19,Angela Vaughn,491 Michael Meadow-Caseymouth- AL 55558,angelavaughn10@gmail.com,916.857.2628x4987,4/4/1998
20,Erica Sanchez,USNV Keith-FPO AE 98867,ericasanchez81@gmail.com,699.765.0752x735,10/18/1992
21,Sheryl Peters,36783 Brewer Overpass-Mcguireland- LA 29546,sherylpeters72@gmail.com,(934)695-7885x6855,1/24/1993
